model,spearman,mae,spearman_played,mae_played,rmse,r2
mlp_points,0.6864456829937885,1.0562063455581665,0.36699190773335266,1.8630911111831665,2.0597226487640374,0.2736895680427551
roll5_points,0.6755526139876822,1.0903767433435974,0.29027015811654805,2.081289987895556,2.177384714766718,0.1883381611570324
ridge_linear,0.6444575640233674,1.1146262884140015,0.3470467068824493,1.8704304695129395,2.105387556955757,0.2411273717880249
last_season_ppg,0.32606903281293986,1.5526836252155976,0.22622711666320633,2.1881078453835685,2.4914749379948904,-0.06271750366438056
